youtube,facebook,newspaper,sales
26.7,4.2,75.2,5.65
273.0,21.4,6.2,20.06
153.4,48.8,74.5,19.28
253.2,25.7,94.6,19.34
342.3,36.0,60.4,26.66
188.5,43.7,28.8,19.75
175.4,49.3,67.2,20.91
25.2,45.6,71.2,14.46
94.0,0.4,65.6,9.33
175.0,25.2,14.7,15.14
237.7,27.8,97.3,19.04
281.3,3.3,95.5,17.55
133.3,32.5,42.5,15.11
23.1,36.5,59.4,8.92
100.9,49.7,4.0,18.06
318.4,56.5,98.9,28.51
74.7,7.7,81.9,9.45
158.2,13.8,63.7,11.83
325.9,39.5,76.1,27.08
8.7,7.9,18.8,4.3
210.2,13.4,30.8,15.05
332.5,34.5,24.6,22.74
80.6,10.2,59.6,8.86
192.0,46.9,9.2,19.9
318.2,51.4,89.6,27.24
46.6,2.0,46.2,6.45
183.2,32.0,44.5,17.52
262.6,47.8,10.5,24.7
234.2,58.5,68.5,24.19
163.7,16.5,81.7,12.96
71.7,10.1,63.0,8.65
171.8,52.6,24.2,21.2
130.3,54.6,78.5,20.97
167.1,11.9,14.6,13.78
128.1,26.5,82.7,12.24
293.3,43.2,58.1,25.01
269.0,50.7,28.9,26.27
109.9,10.1,51.3,10.35
200.4,39.9,62.9,19.21
96.6,48.5,25.9,16.71
158.5,33.0,84.7,16.32
123.5,9.9,42.1,11.53
230.1,2.1,89.2,14.61
129.6,16.9,83.5,14.38
160.7,48.5,9.9,19.66
251.8,2.7,64.6,14.59
144.5,0.5,31.0,10.63
317.2,21.7,75.4,23.06
63.2,3.8,54.3,6.39
259.4,9.0,45.8,16.24
147.8,1.4,89.5,8.03
149.3,31.5,5.7,16.53
222.0,41.8,55.7,20.37
183.0,25.6,32.8,13.62
145.2,8.1,3.5,8.9
0.5,19.9,75.4,7.09
32.3,35.4,56.2,12.3
248.3,56.4,89.4,25.11
183.5,59.6,59.8,23.15
243.7,14.5,33.7,15.59
334.4,0.6,98.5,17.53
239.0,49.8,11.6,23.9
18.6,55.6,5.3,14.49
108.1,27.5,73.3,13.51
207.4,46.3,37.1,22.58
82.3,52.0,36.1,15.28
337.7,36.6,87.7,25.16
330.8,52.4,32.7,28.88
296.9,1.4,88.9,19.71
165.3,16.3,64.4,14.03
294.5,16.6,32.9,21.58
45.9,7.2,6.0,5.7
108.1,54.6,24.5,18.33
162.0,1.8,96.8,11.37
259.6,40.4,40.5,20.45
170.0,4.3,16.0,11.89
47.9,21.6,29.8,10.46
120.2,25.1,90.0,13.65
113.5,10.9,16.5,10.15
105.1,31.3,77.8,15.81
57.9,32.1,13.5,10.02
145.2,19.0,96.1,12.12
156.8,44.2,53.0,17.76
271.2,9.6,4.3,15.54
278.7,11.6,93.1,20.18
182.8,21.3,35.8,15.79
161.2,22.7,73.1,14.03
272.4,12.4,52.4,17.28
310.6,55.1,9.3,30.42
236.2,49.7,10.6,21.95
280.2,6.4,14.9,16.0
328.7,22.2,16.1,22.31
14.2,14.0,5.3,6.98
306.5,27.1,4.7,21.98
96.8,16.6,94.8,10.2
166.5,30.1,9.1,14.61
278.9,55.4,50.8,26.75
251.0,23.0,11.9,18.49
51.5,39.0,21.5,10.58
230.6,35.7,76.3,21.97
